Headline,Sentiment,Score
"Prof Mutua defends govt 2017-2025;Protest Compensation Plan, Accuses Opposition of Hypocrisy",Negative,-0.34
Gachagua Offers to Testify Before US Senate on Kenya’s Non-NATO Ally Status,Neutral,0.0
Pakistan Misses IMF Social Spending Target as Key Provinces Fall Short,Negative,-0.2263
"Bangladesh Marks Hasina’s Ouster Amid Hopes and Rising Tensions, legal challenge",Positive,0.2263
India Raises Concerns Over China’s Mega Dam on Brahmaputra Headwaters,Neutral,0.0
Wetang’ula tells ODM MPs to fall in line after Raila backs Ruto re-election bid,Negative,-0.0516
Over 600 pilgrims hospitalised due to chlorine gas leak in Iraq,Negative,-0.34
Trump nominates ex-Fox News host Tammy Bruce as deputy UN ambassador,Neutral,0.0
Man suspected of stealing from tourist in Maasai Mara arrested,Negative,-0.8271
Sifuna faults IEBC decision to hold by-elections on Nov 27,Negative,-0.4767
"Ruto's policies end in confusion, resistance then damage control",Negative,-0.6597
CHAN 2024: 10-man Harambee Stars stun Morocco to book quarter-finals,Neutral,0.0
"'Gachagua must be questioned over terrorism claims', DP Kindiki, Murkomen say",Negative,-0.7184
20 killed in Kisumu road crash,Negative,-0.802
"Six dead in AMREF aircraft crash, three minutes after takeoff",Negative,-0.7906
"Ruto, Raila pick team to oversee execution of UDA-ODM deal, NADCO report",Neutral,0.0
"Senate, MPs rivalry plays out again as Khalwale hits out at Wetangula",Positive,0.25
Infant among five killed in grisly crash on Nakuru-Eldoret Highway,Negative,-0.802
Harambee Stars stun DR Congo to kick off CHAN debut with a win,Positive,0.5859
PICTURES: Tanzania roars to victory with 2-0 against Burkina Faso,Neutral,0.0
