Headline,Sentiment,Score
Watuka Boys’ School Bus to be auctioned Over KSh 1.1 Million Debt,Negative,-0.3612
"Gender equality icon, ex-Karachuonyo MP Phoebe Asiyo to be laid to rest on Friday",Neutral,0.0
"Probe underway after train slams into bus; leaving 8 dead, scores injured",Negative,-0.7906
Death toll in Mwihoko plane crash rises to 6,Negative,-0.765
"PS Kiptoo Denies Financial Loss in e-Citizen Platform, Contradicts Auditor General’s Report",Negative,-0.7579
"Aircraft Goes Down in Githurai 45, Casualties Unknown",Neutral,0.0
City Hall says July Funds yet to be disbursed by National govt impacting staff pay,Negative,-0.1027
"Govt hastening digitization of land registries, CS Wahome says",Neutral,0.0
Tears and outrage in South Africa as accused in pig farm murder walks free,Negative,-0.8316
DPP opposes bid by Anglo Leasing accused to have defence heard by acquitting magistrate,Positive,0.128
How billions were moved in a shadowy web through e-Citizen,Neutral,0.0
10-man Harambee Stars battle to draw with Angola in CHAN Group A clash,Negative,-0.3818
"6 dead in AMREF aircraft crash, three minutes after takeoff",Negative,-0.7906
"Ruto, Raila pick team to oversee execution of UDA-ODM deal, NADCO report",Neutral,0.0
"Senate, MPs rivalry plays out again as Khalwale hits out at Wetangula",Positive,0.25
Infant among five killed in grisly crash on Nakuru-Eldoret Highway,Negative,-0.802
Harambee Stars stun DR Congo to kick off CHAN debut with a win,Positive,0.5859
PICTURES: Tanzania roars to victory with 2-0 against Burkina Faso,Neutral,0.0
Regional blocs merge peace missions for DRC,Positive,0.5423
Government to disburse HELB loans and Scholarships from August 15,Neutral,0.0
